month_date,country_iso3,indicator,segment,value
2020-04,GBR,token_access,proprietary,4727550000000000
2020-04,NGA,token_access,proprietary,6278360000000000
2020-01,IND,model_region_of_origin,EAS,7854920000000000
2020-01,BRA,model_region_of_origin,EAS,4588970000000000
2020-01,USA,model_region_of_origin,EAS,7897250000000000
2020-01,GBR,model_region_of_origin,EAS,4342270000000000
2020-01,NGA,model_region_of_origin,EAS,7416410000000000
2020-02,IND,model_region_of_origin,EAS,6952980000000000
2020-02,BRA,model_region_of_origin,EAS,7383000000000000
2020-02,USA,model_region_of_origin,EAS,4667970000000000
2020-02,GBR,model_region_of_origin,EAS,7904080000000000
2020-02,NGA,model_region_of_origin,EAS,918297000000000
2020-03,IND,model_region_of_origin,EAS,6297840000000000
2020-03,BRA,model_region_of_origin,EAS,8439320000000000
2020-03,USA,model_region_of_origin,EAS,2456630000000000
2020-03,GBR,model_region_of_origin,EAS,6872450000000000
2020-03,NGA,model_region_of_origin,EAS,5645060000000000
2020-04,IND,model_region_of_origin,EAS,1019130000000000
2020-04,BRA,model_region_of_origin,EAS,2675060000000000
2020-04,USA,model_region_of_origin,EAS,923245000000000
2020-04,GBR,model_region_of_origin,EAS,2318220000000000
2020-04,NGA,model_region_of_origin,EAS,1618050000000000
2020-01,IND,model_region_of_origin,ECS,1427570000000000
2020-01,BRA,model_region_of_origin,ECS,7590560000000000
2020-01,USA,model_region_of_origin,ECS,4722100000000000
2020-01,GBR,model_region_of_origin,ECS,3617540000000000
2020-01,NGA,model_region_of_origin,ECS,8256250000000000
2020-02,IND,model_region_of_origin,ECS,6962510000000000
2020-02,BRA,model_region_of_origin,ECS,1252520000000000
2020-02,USA,model_region_of_origin,ECS,3889560000000000
2020-02,GBR,model_region_of_origin,ECS,6925280000000000
2020-02,NGA,model_region_of_origin,ECS,2116490000000000
2020-03,IND,model_region_of_origin,ECS,1817520000000000
2020-03,BRA,model_region_of_origin,ECS,8151300000000000
2020-03,USA,model_region_of_origin,ECS,8326630000000000
2020-03,GBR,model_region_of_origin,ECS,192214000000000
2020-03,NGA,model_region_of_origin,ECS,722252000000000
2020-04,IND,model_region_of_origin,ECS,4948160000000000
2020-04,BRA,model_region_of_origin,ECS,5510630000000000
2020-04,USA,model_region_of_origin,ECS,6836570000000000
2020-04,GBR,model_region_of_origin,ECS,8676300000000000
2020-04,NGA,model_region_of_origin,ECS,8458640000000000
2020-01,IND,model_region_of_origin,LCN,546046000000000
2020-01,BRA,model_region_of_origin,LCN,3443510000000000
2020-01,USA,model_region_of_origin,LCN,5843090000000000
2020-01,GBR,model_region_of_origin,LCN,6889070000000000
2020-01,NGA,model_region_of_origin,LCN,1099300000000000
2020-02,IND,model_region_of_origin,LCN,6931730000000000
2020-02,BRA,model_region_of_origin,LCN,2949040000000000
2020-02,USA,model_region_of_origin,LCN,3210370000000000
2020-02,GBR,model_region_of_origin,LCN,8606800000000000
2020-02,NGA,model_region_of_origin,LCN,5205190000000000
2020-03,IND,model_region_of_origin,LCN,5180260000000000
2020-03,BRA,model_region_of_origin,LCN,5688510000000000
2020-03,USA,model_region_of_origin,LCN,1457680000000000
2020-03,GBR,model_region_of_origin,LCN,1176370000000000
2020-03,NGA,model_region_of_origin,LCN,4995810000000000
2020-04,IND,model_region_of_origin,LCN,6295470000000000
2020-04,BRA,model_region_of_origin,LCN,8389190000000000
2020-04,USA,model_region_of_origin,LCN,5928270000000000
2020-04,GBR,model_region_of_origin,LCN,1746600000000000
2020-04,NGA,model_region_of_origin,LCN,1252050000000000
2020-01,IND,model_region_of_origin,MEA,1482770000000000
2020-01,BRA,model_region_of_origin,MEA,3392000000000000
2020-01,USA,model_region_of_origin,MEA,2324940000000000
2020-01,GBR,model_region_of_origin,MEA,8797070000000000
2020-01,NGA,model_region_of_origin,MEA,1608140000000000
2020-02,IND,model_region_of_origin,MEA,5903010000000000
2020-02,BRA,model_region_of_origin,MEA,7476150000000000
2020-02,USA,model_region_of_origin,MEA,7803950000000000
2020-02,GBR,model_region_of_origin,MEA,3502480000000000
2020-02,NGA,model_region_of_origin,MEA,3726860000000000
2020-03,IND,model_region_of_origin,MEA,6849420000000000
2020-03,BRA,model_region_of_origin,MEA,2480380000000000
2020-03,USA,model_region_of_origin,MEA,483096000000000
2020-03,GBR,model_region_of_origin,MEA,4728360000000000
2020-03,NGA,model_region_of_origin,MEA,8581350000000000
2020-04,IND,model_region_of_origin,MEA,1488410000000000
2020-04,BRA,model_region_of_origin,MEA,1207350000000000
2020-04,USA,model_region_of_origin,MEA,1360850000000000
2020-04,GBR,model_region_of_origin,MEA,1927080000000000
2020-04,NGA,model_region_of_origin,MEA,397267000000000
2020-01,IND,model_region_of_origin,NAC,8714280000000000
2020-01,BRA,model_region_of_origin,NAC,7644530000000000
2020-01,USA,model_region_of_origin,NAC,1374830000000000
2020-01,GBR,model_region_of_origin,NAC,485427000000000
2020-01,NGA,model_region_of_origin,NAC,3040830000000000
2020-02,IND,model_region_of_origin,NAC,4376330000000000
2020-02,BRA,model_region_of_origin,NAC,7720700000000000
2020-02,USA,model_region_of_origin,NAC,2379560000000000
2020-02,GBR,model_region_of_origin,NAC,1953090000000000
2020-02,NGA,model_region_of_origin,NAC,4561550000000000
2020-03,IND,model_region_of_origin,NAC,1326750000000000
2020-03,BRA,model_region_of_origin,NAC,6319960000000000
2020-03,USA,model_region_of_origin,NAC,4199870000000000
2020-03,GBR,model_region_of_origin,NAC,3733510000000000
2020-03,NGA,model_region_of_origin,NAC,2003020000000000
2020-04,IND,model_region_of_origin,NAC,4402230000000000
2020-04,BRA,model_region_of_origin,NAC,6090290000000000
2020-04,USA,model_region_of_origin,NAC,4413250000000000
2020-04,GBR,model_region_of_origin,NAC,7082210000000000
2020-04,NGA,model_region_of_origin,NAC,4328700000000000
2020-01,IND,model_region_of_origin,SAS,6993220000000000
2020-01,BRA,model_region_of_origin,SAS,2962220000000000
2020-01,USA,model_region_of_origin,SAS,4037190000000000
2020-01,GBR,model_region_of_origin,SAS,2944850000000000
2020-01,NGA,model_region_of_origin,SAS,3812110000000000
2020-02,IND,model_region_of_origin,SAS,2710680000000000
2020-02,BRA,model_region_of_origin,SAS,5842400000000000
2020-02,USA,model_region_of_origin,SAS,8791720000000000
2020-02,GBR,model_region_of_origin,SAS,3025410000000000
2020-02,NGA,model_region_of_origin,SAS,3772160000000000
2020-03,IND,model_region_of_origin,SAS,4196500000000000
2020-03,BRA,model_region_of_origin,SAS,4703600000000000
2020-03,USA,model_region_of_origin,SAS,8709720000000000
2020-03,GBR,model_region_of_origin,SAS,3351100000000000
2020-03,NGA,model_region_of_origin,SAS,1035940000000000
2020-04,IND,model_region_of_origin,SAS,4710100000000000
2020-04,BRA,model_region_of_origin,SAS,786714000000000
2020-04,USA,model_region_of_origin,SAS,6217170000000000
2020-04,GBR,model_region_of_origin,SAS,255029000000000
2020-04,NGA,model_region_of_origin,SAS,2819460000000000
2020-01,IND,model_region_of_origin,SSF,3361460000000000
2020-01,BRA,model_region_of_origin,SSF,6511680000000000
2020-01,USA,model_region_of_origin,SSF,2614030000000000
2020-01,GBR,model_region_of_origin,SSF,188967000000000
2020-01,NGA,model_region_of_origin,SSF,1915300000000000
2020-02,IND,model_region_of_origin,SSF,8216260000000000
2020-02,BRA,model_region_of_origin,SSF,385159000000000
2020-02,USA,model_region_of_origin,SSF,3829290000000000
2020-02,GBR,model_region_of_origin,SSF,4249660000000000
2020-02,NGA,model_region_of_origin,SSF,74536000000000
2020-03,IND,model_region_of_origin,SSF,3686670000000000
2020-03,BRA,model_region_of_origin,SSF,3591350000000000
2020-03,USA,model_region_of_origin,SSF,2459180000000000
2020-03,GBR,model_region_of_origin,SSF,8759130000000000
2020-03,NGA,model_region_of_origin,SSF,1603840000000000
2020-04,IND,model_region_of_origin,SSF,7091170000000000
2020-04,BRA,model_region_of_origin,SSF,7261460000000000
2020-04,USA,model_region_of_origin,SSF,3050890000000000
2020-04,GBR,model_region_of_origin,SSF,6736770000000000
2020-04,NGA,model_region_of_origin,SSF,3627690000000000
